DEBUG 2023-10-03 21:51:53,192 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\re\_compiler.py first seen with mtime 1694630746.5293336
DEBUG 2023-10-03 21:51:53,192 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1696004247.4974394
DEBUG 2023-10-03 21:51:53,192 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1696004248.6921568
DEBUG 2023-10-03 21:51:53,193 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\concurrent\__init__.py first seen with mtime 1694630744.9768474
DEBUG 2023-10-03 21:51:53,193 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1696004250.4740214
DEBUG 2023-10-03 21:51:53,194 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\mime\__init__.py first seen with mtime 1694630738.9091315
DEBUG 2023-10-03 21:51:53,194 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\DLLs\_ctypes.pyd first seen with mtime 1694630744.0359182
DEBUG 2023-10-03 21:51:53,194 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1696004250.2703846
DEBUG 2023-10-03 21:51:53,195 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\json\decoder.py first seen with mtime 1694630746.168839
DEBUG 2023-10-03 21:51:53,195 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1696004246.0753007
